timestamp,model,accuracy,precision,recall,f1,hamming_loss
2026-04-09 11:22:01,CNNResNetLSTM,0.6412556053811659,0.6125992063492063,0.6158854166666666,0.5816794143800217,0.35874439461883406
2026-04-09 11:46:54,MobileNetTransformer,0.6457399103139013,0.7300696699134199,0.6438244047619047,0.6409366733006565,0.3542600896860987
2026-04-15 15:26:40,CNNResNetLSTM,0.39461883408071746,0.34889136598695425,0.4210565476190476,0.3325920241383835,0.6053811659192825
2026-04-15 16:05:33,CNNResNetLSTM,0.905829596412556,0.8957217261904762,0.9066220238095238,0.8929056186868687,0.09417040358744394
2026-04-15 16:40:58,CNNResNetLSTM,0.8968609865470852,0.9182212752525253,0.9014136904761905,0.8930553566123419,0.1031390134529148
2026-04-15 17:30:09,MobileNetTransformer,0.27802690582959644,0.22689826972455646,0.2908482142857143,0.21048140456035194,0.7219730941704036
2026-04-15 18:43:18,MobileNetTransformer,0.7309417040358744,0.7187195616883117,0.7022321428571429,0.693811299209906,0.26905829596412556
2026-04-15 19:31:55,MobileNetTransformer,0.7802690582959642,0.7861702533577533,0.7591145833333334,0.7500029586426645,0.21973094170403587
2026-04-15 20:13:05,CNNResNetLSTM,0.9147982062780269,0.9325487012987013,0.9140625,0.9065438130840607,0.08520179372197309
2026-04-15 20:54:45,MobileNetTransformer,0.9013452914798207,0.9136498917748918,0.9008556547619049,0.9011882974803833,0.09865470852017937
2026-04-15 21:47:14,CNN_LSTM_TEST,0.8923766816143498,0.9059580176767676,0.8925595238095239,0.8913414914334032,0.10762331838565023
2026-04-15 21:47:36,MobileNet_TEST,0.9192825112107623,0.9253934433621933,0.9170386904761905,0.9161334422049399,0.08071748878923767
2026-04-15 21:49:03,CNN_LSTM_TEST,0.8923766816143498,0.9059580176767676,0.8925595238095239,0.8913414914334032,0.10762331838565023
2026-04-15 21:49:19,MobileNet_TEST,0.9192825112107623,0.9253934433621933,0.9170386904761905,0.9161334422049399,0.08071748878923767
2026-04-15 22:42:10,MobileNet_TEST,0.9192825112107623,0.9253934433621933,0.9170386904761905,0.9161334422049399,0.08071748878923767
2026-04-15 22:43:15,CNN_LSTM_TEST,0.8923766816143498,0.9059580176767676,0.8925595238095239,0.8913414914334032,0.10762331838565023
